,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.0005323999794200063,3.0,0.0,6,4096
1,1,0.012573599989991635,3.0,2.0,6,4096
2,2,0.012925399991218,4.0,4.0,6,4096
3,3,0.013216999999713153,3.0,6.0,6,4096
4,4,0.013535599980968982,2.0,8.0,6,4096
5,5,0.013860099978046492,2.0,10.0,6,4096
6,6,0.014152599993394688,3.0,12.0,6,4096
7,7,0.014444999978877604,3.0,14.0,6,4096
8,8,0.01486339999246411,4.0,16.0,6,4096
9,9,0.015191899990895763,3.0,18.0,6,4096
10,10,0.015514999977312982,3.0,20.0,6,4096
11,11,0.015837899991311133,3.0,22.0,6,4096
12,12,0.016151899995747954,2.0,24.0,6,4096
13,13,0.01633889999357052,2.0,25.0,6,4096
14,14,0.01652599999215454,2.0,26.0,6,4096
15,15,0.016849899984663352,2.0,28.0,6,4096
16,16,0.017041799990693107,2.0,29.0,6,4096
17,17,0.017371499998262152,5.0,31.0,6,4096
18,18,0.017698899988317862,4.0,33.0,6,4096
19,19,0.017999199975747615,4.0,35.0,6,4096
20,20,0.018291099986527115,4.0,37.0,6,4096
21,21,0.01857609997387044,3.0,39.0,6,4096
22,22,0.01886349997948855,2.0,41.0,6,4096
23,23,0.019153100001858547,3.0,43.0,6,4096
24,24,0.019442499993601814,3.0,45.0,6,4096
25,25,0.019733199995243922,3.0,47.0,6,4096
26,26,0.02002830000128597,3.0,49.0,6,4096
27,27,0.020318299997597933,3.0,51.0,6,4096
28,28,0.020609499973943457,5.0,53.0,6,4096
29,29,0.020904399978462607,5.0,55.0,6,4096
30,30,0.021199099981458858,5.0,57.0,6,4096
31,31,0.021488099999260157,4.0,59.0,6,4096
32,32,0.02178280000225641,4.0,61.0,6,4096
33,33,0.022122299997135997,3.0,63.0,6,4096
34,34,0.022424900002079085,3.0,65.0,6,4096
35,35,0.022725799994077533,3.0,67.0,6,4096
36,36,0.023026399983791634,1.0,69.0,6,4096
37,37,0.023210299987113103,1.0,70.0,6,4096
38,38,0.02339449999271892,1.0,71.0,6,4096
