,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,10.0,0,0.0005803999956697226,"[6, 3, 4, 6, 2, 7, 4, 4]",12,4096,0
1,4096,1.0,515,0.24043499998515472,"[6, 3, 7, 2, 0, 5, 1, 4]",12,4096,0
2,0,9.0,515,0.2538285999908112,"[6, 6, 6, 4, 4, 5, 1, 2]",12,4096,1
3,4096,1.0,1047,0.8460869000118691,"[6, 3, 0, 4, 1, 5, 7, 2]",12,4096,1
4,0,6.0,1047,0.8631622999964748,"[4, 0, 2, 0, 1, 3, 1, 0]",12,4096,2
5,4096,2.0,1612,1.642369500012137,"[4, 0, 2, 6, 1, 3, 7, 0]",12,4096,2
6,0,5.0,1612,1.6634109999868087,"[0, 3, 5, 5, 2, 6, 7, 7]",12,4096,3
7,4096,2.0,2158,2.6617158000008203,"[5, 3, 5, 0, 2, 6, 4, 7]",12,4096,3
8,0,4.0,2158,2.6869961000047624,"[2, 2, 6, 6, 0, 6, 4, 7]",12,4096,4
9,4096,1.0,2702,3.9558322000084445,"[2, 5, 3, 6, 0, 2, 4, 7]",12,4096,4
10,0,7.0,2702,3.985970300011104,"[4, 3, 1, 4, 7, 7, 1, 3]",12,4096,5
11,4096,2.0,3347,5.7594814999902155,"[5, 7, 1, 4, 7, 7, 0, 3]",12,4096,5
12,0,8.0,3347,5.792794899985893,"[0, 4, 5, 2, 4, 0, 3, 1]",12,4096,6
13,4096,2.0,3868,7.484631300001638,"[0, 2, 5, 2, 2, 7, 3, 1]",12,4096,6
14,0,9.0,3868,7.520485399989411,"[2, 0, 4, 6, 2, 0, 3, 2]",12,4096,7
15,4096,2.0,4414,9.577553200011607,"[7, 0, 4, 7, 4, 6, 3, 5]",12,4096,7
16,0,9.0,4414,9.619363999983761,"[6, 4, 5, 2, 5, 0, 1, 6]",12,4096,8
17,4096,0.0,4650,10.53686990001006,"[6, 4, 2, 0, 5, 7, 1, 3]",12,4096,8
