,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.028299700003117323,37.0,0.0,False,5000,0.25,4096
1,1,8.836882699994021,62.0,2.0,False,5000,0.25,4096
2,2,16.81767210000544,65.0,4.0,False,5000,0.25,4096
3,3,25.137659800006077,71.0,6.0,False,5000,0.25,4096
4,4,33.1758489000058,72.0,8.0,False,5000,0.25,4096
5,5,40.97648880000634,75.0,10.0,False,5000,0.25,4096
6,6,49.229594400007045,76.0,12.0,False,5000,0.25,4096
7,7,57.16620330000296,79.0,14.0,False,5000,0.25,4096
