,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.00036810000892728567,8.0,0.0,10,4096
1,1,0.013174600011552684,8.0,1.0,10,4096
2,2,0.013285200009704567,48.0,3.0,10,4096
3,3,0.01339160000497941,48.0,5.0,10,4096
4,4,0.013493400008883327,48.0,7.0,10,4096
5,5,0.013598400008049794,48.0,9.0,10,4096
6,6,0.013670800006366335,48.0,10.0,10,4096
7,7,0.013782300011371262,48.0,12.0,10,4096
8,8,0.013890200003515929,48.0,14.0,10,4096
9,9,0.013999100003275089,48.0,16.0,10,4096
10,10,0.014110900010564364,48.0,18.0,10,4096
11,11,0.01418500000727363,48.0,19.0,10,4096
12,12,0.014296500012278557,48.0,21.0,10,4096
13,13,0.014408900009584613,48.0,23.0,10,4096
14,14,0.014519700009259395,48.0,25.0,10,4096
15,15,0.014631099998950958,48.0,27.0,10,4096
16,16,0.01474410000082571,48.0,29.0,10,4096
17,17,0.014858499998808838,48.0,31.0,10,4096
18,18,0.014937100000679493,48.0,32.0,10,4096
19,19,0.015054100003908388,47.0,34.0,10,4096
20,20,0.015233700003591366,47.0,36.0,10,4096
21,21,0.015366300009191036,47.0,38.0,10,4096
22,22,0.01548870000988245,46.0,40.0,10,4096
23,23,0.015573700002278201,46.0,41.0,10,4096
24,24,0.015695800000685267,46.0,43.0,10,4096
25,25,0.01581810000061523,46.0,45.0,10,4096
26,26,0.015940700002829544,46.0,47.0,10,4096
27,27,0.016063600007328205,46.0,49.0,10,4096
28,28,0.016190700000151992,46.0,51.0,10,4096
29,29,0.016315100001520477,46.0,53.0,10,4096
30,30,0.01643980000517331,46.0,55.0,10,4096
31,31,0.016531300003407523,46.0,56.0,10,4096
32,32,0.016659100001561455,46.0,58.0,10,4096
33,33,0.01678790000732988,46.0,60.0,10,4096
34,34,0.01691610000852961,46.0,62.0,10,4096
35,35,0.017045500004314817,46.0,64.0,10,4096
36,36,0.017179700007545762,46.0,66.0,10,4096
