,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.003180400002747774,64.0,0.0,6,4096
1,1,0.014114400022663176,64.0,1.0,6,4096
2,2,0.01730800000950694,63.0,3.0,6,4096
3,3,0.02032770001096651,65.0,5.0,6,4096
4,4,0.023418800003128126,64.0,7.0,6,4096
5,5,0.02659500000299886,64.0,9.0,6,4096
6,6,0.029691900010220706,64.0,11.0,6,4096
7,7,0.03266670001903549,63.0,13.0,6,4096
8,8,0.03568030000315048,63.0,15.0,6,4096
9,9,0.04058230001828633,61.0,17.0,6,4096
10,10,0.043609000014839694,63.0,19.0,6,4096
11,11,0.046595499996328726,63.0,21.0,6,4096
12,12,0.04958819999592379,64.0,23.0,6,4096
13,13,0.052659900014987215,64.0,25.0,6,4096
14,14,0.05570260001695715,63.0,27.0,6,4096
15,15,0.058714000013424084,61.0,29.0,6,4096
16,16,0.0617054000031203,60.0,31.0,6,4096
17,17,0.0647041000192985,61.0,33.0,6,4096
18,18,0.06772010002168827,61.0,35.0,6,4096
19,19,0.06932390001020394,61.0,36.0,6,4096
20,20,0.07287230002111755,65.0,38.0,6,4096
21,21,0.07593869999982417,65.0,40.0,6,4096
22,22,0.07895630001439713,65.0,42.0,6,4096
23,23,0.08204989999649115,64.0,44.0,6,4096
24,24,0.08502900000894442,60.0,46.0,6,4096
25,25,0.08837790001416579,59.0,48.0,6,4096
26,26,0.0900110000220593,59.0,49.0,6,4096
27,27,0.09314969999832101,59.0,51.0,6,4096
28,28,0.09635950002120808,61.0,53.0,6,4096
29,29,0.09951940001337789,63.0,55.0,6,4096
30,30,0.10260740001103841,62.0,57.0,6,4096
31,31,0.1057452000095509,62.0,59.0,6,4096
32,32,0.10885119999875315,64.0,61.0,6,4096
33,33,0.11043760000029579,64.0,62.0,6,4096
34,34,0.1121745000127703,64.0,63.0,6,4096
35,35,0.11529940000036731,61.0,65.0,6,4096
36,36,0.11839640000835061,62.0,67.0,6,4096
37,37,0.12156290002167225,63.0,69.0,6,4096
38,38,0.12476750000496395,63.0,71.0,6,4096
39,39,0.12801680000848137,63.0,73.0,6,4096
40,40,0.1312065999954939,64.0,75.0,6,4096
41,41,0.1343367999943439,65.0,77.0,6,4096
42,42,0.13751739999861456,66.0,79.0,6,4096
43,43,0.140656300005503,66.0,81.0,6,4096
44,44,0.143982200010214,67.0,83.0,6,4096
45,45,0.14728980002109893,68.0,85.0,6,4096
46,46,0.1503798000048846,69.0,87.0,6,4096
47,47,0.15411590001895092,69.0,89.0,6,4096
48,48,0.15733909999835305,69.0,90.0,6,4096
49,49,0.1639183000079356,68.0,92.0,6,4096
50,50,0.16729969999869354,68.0,93.0,6,4096
51,51,0.17381700000260025,68.0,95.0,6,4096
52,52,0.1778002000064589,65.0,97.0,6,4096
53,53,0.18107630001031794,64.0,99.0,6,4096
54,54,0.18439280000166036,64.0,101.0,6,4096
55,55,0.1877280000189785,63.0,103.0,6,4096
56,56,0.19086410000454634,64.0,105.0,6,4096
57,57,0.19400410001981072,65.0,107.0,6,4096
58,58,0.19562410001526587,65.0,108.0,6,4096
59,59,0.19875390001107007,65.0,110.0,6,4096
60,60,0.20191679999697953,66.0,112.0,6,4096
61,61,0.20515039999736473,67.0,114.0,6,4096
62,62,0.20853970001917332,67.0,116.0,6,4096
63,63,0.2117320999968797,65.0,118.0,6,4096
64,64,0.21487070000148378,63.0,120.0,6,4096
65,65,0.21811000001616776,63.0,122.0,6,4096
66,66,0.22168330001295544,61.0,124.0,6,4096
67,67,0.22333950002212077,61.0,125.0,6,4096
68,68,0.22649030000320636,62.0,127.0,6,4096
69,69,0.22962210001423955,61.0,129.0,6,4096
70,70,0.23133880001842044,61.0,130.0,6,4096
71,71,0.23449030000483617,61.0,132.0,6,4096
72,72,0.23765230001299642,62.0,134.0,6,4096
73,73,0.2408075999992434,63.0,136.0,6,4096
74,74,0.24243630000273697,63.0,137.0,6,4096
75,75,0.24408870001207106,63.0,138.0,6,4096
76,76,0.24733750001178123,62.0,140.0,6,4096
77,77,0.2491329000040423,62.0,141.0,6,4096
78,78,0.2524058000126388,63.0,143.0,6,4096
79,79,0.2542881999979727,63.0,144.0,6,4096
80,80,0.257503100001486,62.0,146.0,6,4096
81,81,0.26065209999796934,61.0,148.0,6,4096
82,82,0.26384660002077,58.0,150.0,6,4096
83,83,0.26696360000642017,57.0,152.0,6,4096
84,84,0.27007709999452345,59.0,154.0,6,4096
85,85,0.2732638000161387,58.0,156.0,6,4096
86,86,0.2749066000105813,58.0,157.0,6,4096
87,87,0.27811640000436455,58.0,159.0,6,4096
88,88,0.2812663000077009,58.0,161.0,6,4096
89,89,0.28289820000645705,58.0,162.0,6,4096
90,90,0.28453010000521317,58.0,163.0,6,4096
91,91,0.2861630000115838,58.0,164.0,6,4096
92,92,0.28934570000274107,58.0,166.0,6,4096
93,93,0.29103740002028644,58.0,167.0,6,4096
94,94,0.29425440001068637,58.0,169.0,6,4096
95,95,0.2973987000004854,58.0,171.0,6,4096
96,96,0.3005674000014551,57.0,173.0,6,4096
97,97,0.30369420000351965,55.0,175.0,6,4096
98,98,0.3070392000081483,55.0,177.0,6,4096
99,99,0.3102142999996431,56.0,179.0,6,4096
100,100,0.3118751000147313,56.0,180.0,6,4096
101,101,0.31503280001925305,57.0,182.0,6,4096
102,102,0.3181987999996636,60.0,184.0,6,4096
103,103,0.3198557000141591,60.0,185.0,6,4096
104,104,0.32313340000109747,54.0,187.0,6,4096
105,105,0.3263005000189878,55.0,189.0,6,4096
106,106,0.32959209999535233,51.0,191.0,6,4096
107,107,0.3313868000113871,51.0,192.0,6,4096
108,108,0.33455440000398085,50.0,194.0,6,4096
109,109,0.3362822000053711,50.0,195.0,6,4096
110,110,0.33984860000782646,51.0,197.0,6,4096
111,111,0.3415145000035409,51.0,198.0,6,4096
112,112,0.3446667999960482,50.0,200.0,6,4096
113,113,0.34633020000183024,50.0,201.0,6,4096
114,114,0.34799790001125075,50.0,202.0,6,4096
