,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
10,512,0.0,37583,8.392684099999997,"[2, 8, 10, 2, 0, 5, 3, 9, 4, 0, 2, 8, 11, 6, 0, 3, 0, 4, 11, 5, 7, 4, 1, 0, 4, 2, 7, 5, 2, 3, 3, 7, 7, 0, 9, 3, 9, 6, 3, 3, 2, 11, 10, 0, 0, 6, 4, 3, 4, 0, 9, 5, 5, 3, 10, 1, 7, 3, 6, 8, 7, 9, 10, 11, 3, 11, 9, 4, 2, 3, 9, 10, 6, 9, 11, 11, 3, 9, 8, 0, 1, 10, 7, 4, 10, 5, 1, 6, 5, 1, 11, 8, 9, 1, 11, 4, 10, 6, 4, 2]",500,0.1,4096
11,1024,0.0,37583,8.392684099999997,"[2, 8, 10, 2, 0, 5, 3, 9, 4, 0, 2, 8, 11, 6, 0, 3, 0, 4, 11, 5, 7, 4, 1, 0, 4, 2, 7, 5, 2, 3, 3, 7, 7, 0, 9, 3, 9, 6, 3, 3, 2, 11, 10, 0, 0, 6, 4, 3, 4, 0, 9, 5, 5, 3, 10, 1, 7, 3, 6, 8, 7, 9, 10, 11, 3, 11, 9, 4, 2, 3, 9, 10, 6, 9, 11, 11, 3, 9, 8, 0, 1, 10, 7, 4, 10, 5, 1, 6, 5, 1, 11, 8, 9, 1, 11, 4, 10, 6, 4, 2]",500,0.1,4096
12,2048,0.0,37583,8.392684099999997,"[2, 8, 10, 2, 0, 5, 3, 9, 4, 0, 2, 8, 11, 6, 0, 3, 0, 4, 11, 5, 7, 4, 1, 0, 4, 2, 7, 5, 2, 3, 3, 7, 7, 0, 9, 3, 9, 6, 3, 3, 2, 11, 10, 0, 0, 6, 4, 3, 4, 0, 9, 5, 5, 3, 10, 1, 7, 3, 6, 8, 7, 9, 10, 11, 3, 11, 9, 4, 2, 3, 9, 10, 6, 9, 11, 11, 3, 9, 8, 0, 1, 10, 7, 4, 10, 5, 1, 6, 5, 1, 11, 8, 9, 1, 11, 4, 10, 6, 4, 2]",500,0.1,4096
13,4096,0.0,37583,8.392684099999997,"[2, 8, 10, 2, 0, 5, 3, 9, 4, 0, 2, 8, 11, 6, 0, 3, 0, 4, 11, 5, 7, 4, 1, 0, 4, 2, 7, 5, 2, 3, 3, 7, 7, 0, 9, 3, 9, 6, 3, 3, 2, 11, 10, 0, 0, 6, 4, 3, 4, 0, 9, 5, 5, 3, 10, 1, 7, 3, 6, 8, 7, 9, 10, 11, 3, 11, 9, 4, 2, 3, 9, 10, 6, 9, 11, 11, 3, 9, 8, 0, 1, 10, 7, 4, 10, 5, 1, 6, 5, 1, 11, 8, 9, 1, 11, 4, 10, 6, 4, 2]",500,0.1,4096
14,0,18.0,500,0.08647789999997713,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 11, 1, 9, 8, 9, 4, 1, 3, 11, 11, 6, 11, 7, 2, 0, 3, 1, 7, 3, 1, 5, 5, 9, 3, 5, 1, 9, 11, 1, 9, 3, 7, 6, 11, 8, 7, 4, 1, 4, 7, 9, 8, 11, 11, 11, 8, 0]",500,0.2,4096
15,1,8.0,1002,0.2024731999999858,"[10, 2, 3, 3, 3, 1, 10, 5, 0, 11, 4, 1, 8, 1, 5, 3, 5, 1, 11, 1, 11, 6, 2, 2, 6, 7, 6, 2, 2, 6, 2, 1, 6, 2, 4, 6, 1, 7, 1, 3, 3, 7, 10, 0, 11, 8, 5, 3, 5, 5, 8, 10, 11, 3, 7, 0, 5, 4, 2, 3, 7, 10, 10, 9, 10, 1, 7, 6, 0, 1, 6, 10, 10, 2, 1, 0, 6, 2, 5, 9, 7, 5, 6, 10, 5, 6, 4, 8, 2, 5, 8, 0, 4, 3, 8, 10, 10, 0, 3, 0]",500,0.2,4096
16,2,8.0,1503,0.31912029999995184,"[10, 2, 3, 3, 3, 1, 10, 5, 0, 11, 4, 1, 8, 1, 5, 3, 5, 1, 11, 1, 11, 6, 2, 2, 6, 7, 6, 2, 2, 6, 2, 1, 6, 2, 4, 6, 1, 7, 1, 3, 3, 7, 10, 0, 11, 8, 5, 3, 5, 5, 8, 10, 11, 3, 7, 0, 5, 4, 2, 3, 7, 10, 10, 9, 10, 1, 7, 6, 0, 1, 6, 10, 10, 2, 1, 0, 6, 2, 5, 9, 7, 5, 6, 10, 5, 6, 4, 8, 2, 5, 8, 0, 4, 3, 8, 10, 10, 0, 3, 0]",500,0.2,4096
17,4,7.0,2506,0.5651178999999615,"[9, 5, 6, 2, 4, 7, 4, 1, 8, 7, 2, 4, 1, 6, 6, 6, 1, 8, 8, 7, 6, 8, 4, 6, 11, 7, 9, 0, 10, 11, 7, 11, 10, 0, 1, 10, 4, 8, 11, 5, 8, 4, 8, 1, 11, 2, 0, 5, 6, 0, 7, 4, 4, 5, 5, 1, 1, 10, 3, 7, 9, 3, 9, 8, 0, 3, 0, 2, 11, 2, 2, 0, 1, 3, 7, 9, 10, 0, 3, 4, 5, 0, 10, 10, 11, 0, 10, 5, 10, 0, 1, 8, 3, 2, 8, 0, 8, 11, 6, 3]",500,0.2,4096
18,8,7.0,4510,1.0379311999999459,"[9, 5, 6, 2, 4, 7, 4, 1, 8, 7, 2, 4, 1, 6, 6, 6, 1, 8, 8, 7, 6, 8, 4, 6, 11, 7, 9, 0, 10, 11, 7, 11, 10, 0, 1, 10, 4, 8, 11, 5, 8, 4, 8, 1, 11, 2, 0, 5, 6, 0, 7, 4, 4, 5, 5, 1, 1, 10, 3, 7, 9, 3, 9, 8, 0, 3, 0, 2, 11, 2, 2, 0, 1, 3, 7, 9, 10, 0, 3, 4, 5, 0, 10, 10, 11, 0, 10, 5, 10, 0, 1, 8, 3, 2, 8, 0, 8, 11, 6, 3]",500,0.2,4096
19,16,6.0,8519,1.928256699999963,"[4, 3, 6, 7, 4, 2, 3, 7, 6, 5, 7, 0, 3, 2, 4, 6, 0, 11, 10, 4, 0, 6, 5, 2, 11, 10, 4, 0, 2, 3, 5, 2, 8, 10, 11, 3, 1, 3, 5, 3, 3, 9, 4, 0, 8, 1, 6, 2, 6, 11, 5, 3, 5, 2, 0, 2, 4, 6, 3, 8, 0, 10, 0, 7, 4, 6, 6, 5, 10, 0, 1, 10, 0, 2, 3, 4, 5, 8, 7, 10, 3, 9, 4, 0, 8, 10, 2, 11, 1, 1, 9, 7, 11, 1, 8, 7, 5, 11, 9, 5]",500,0.2,4096
