,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.2620716000092216,8.0,4000.0,True,4000,0.25,4096
1,1,0.7650187000108417,78.0,8002.0,True,4000,0.25,4096
2,2,1.187829900009092,80.0,12004.0,True,4000,0.25,4096
3,3,1.7334569000086049,83.0,16006.0,True,4000,0.25,4096
4,4,2.187956200010376,91.0,20008.0,True,4000,0.25,4096
5,5,2.582924100002856,91.0,24009.0,True,4000,0.25,4096
6,6,3.019305699999677,94.0,28011.0,True,4000,0.25,4096
7,7,3.4230328000121517,102.0,32013.0,True,4000,0.25,4096
8,8,3.8302087000047322,104.0,36015.0,True,4000,0.25,4096
9,9,4.227557900012471,106.0,40017.0,True,4000,0.25,4096
10,10,4.64974500000244,107.0,44019.0,True,4000,0.25,4096
11,11,5.075904800003627,110.0,48021.0,True,4000,0.25,4096
12,12,5.495682799999486,110.0,52022.0,True,4000,0.25,4096
13,13,5.880815700002131,110.0,56023.0,True,4000,0.25,4096
14,14,6.4214672000089195,110.0,60024.0,True,4000,0.25,4096
15,15,6.876839700009441,111.0,64026.0,True,4000,0.25,4096
16,16,7.301989700004924,112.0,68028.0,True,4000,0.25,4096
17,17,7.693580600011046,113.0,72030.0,True,4000,0.25,4096
18,18,8.270340000002761,113.0,76031.0,True,4000,0.25,4096
19,19,8.779251900006784,113.0,80032.0,True,4000,0.25,4096
20,20,9.581162100002985,113.0,84033.0,True,4000,0.25,4096
21,21,10.395833700007643,113.0,88034.0,True,4000,0.25,4096
22,22,11.267151300009573,113.0,92035.0,True,4000,0.25,4096
23,23,12.086773300005007,113.0,96036.0,True,4000,0.25,4096
24,24,12.85114360001171,113.0,100037.0,True,4000,0.25,4096
25,25,13.668697800007067,113.0,104038.0,True,4000,0.25,4096
26,26,14.496978100010892,113.0,108039.0,True,4000,0.25,4096
27,27,15.251648600009503,113.0,112040.0,True,4000,0.25,4096
28,28,16.084429300011834,113.0,116041.0,True,4000,0.25,4096
29,29,16.891747000001487,113.0,120042.0,True,4000,0.25,4096
30,30,17.65138750000915,113.0,124043.0,True,4000,0.25,4096
31,31,18.475336300005438,113.0,128044.0,True,4000,0.25,4096
32,32,19.328520499999286,113.0,132045.0,True,4000,0.25,4096
33,33,20.150057500010007,113.0,136046.0,True,4000,0.25,4096
34,34,20.937263200001325,113.0,140047.0,True,4000,0.25,4096
35,35,21.711263900011545,113.0,144048.0,True,4000,0.25,4096
36,36,22.52927009999985,113.0,148049.0,True,4000,0.25,4096
37,37,23.290389600006165,113.0,152050.0,True,4000,0.25,4096
38,38,24.069270600011805,113.0,156051.0,True,4000,0.25,4096
39,39,24.854953900008695,113.0,160052.0,True,4000,0.25,4096
40,40,25.616250700011733,113.0,164053.0,True,4000,0.25,4096
41,41,26.363472199998796,113.0,168054.0,True,4000,0.25,4096
42,42,27.173697999998694,113.0,172055.0,True,4000,0.25,4096
43,43,27.993487300002016,113.0,176056.0,True,4000,0.25,4096
44,44,28.81084250001004,113.0,180057.0,True,4000,0.25,4096
45,45,29.640076100011356,113.0,184058.0,True,4000,0.25,4096
46,46,30.429026700003305,113.0,188059.0,True,4000,0.25,4096
47,47,31.234902399999555,113.0,192060.0,True,4000,0.25,4096
48,48,32.08859040000243,113.0,196061.0,True,4000,0.25,4096
49,49,32.86016680000466,113.0,200062.0,True,4000,0.25,4096
50,50,33.78698509999958,113.0,204063.0,True,4000,0.25,4096
51,51,34.59954340000695,113.0,208064.0,True,4000,0.25,4096
52,52,35.36759230001189,113.0,212065.0,True,4000,0.25,4096
53,53,36.184697800010326,113.0,216066.0,True,4000,0.25,4096
54,54,36.93793130000995,113.0,220067.0,True,4000,0.25,4096
55,55,37.70587050000904,113.0,224068.0,True,4000,0.25,4096
56,56,38.49677779999911,113.0,228069.0,True,4000,0.25,4096
57,57,39.26187700001174,113.0,232070.0,True,4000,0.25,4096
58,58,40.05508120000013,113.0,236071.0,True,4000,0.25,4096
59,59,40.822376399999484,113.0,240072.0,True,4000,0.25,4096
60,60,41.63940690000891,113.0,244073.0,True,4000,0.25,4096
61,61,42.46041280000645,113.0,248074.0,True,4000,0.25,4096
62,62,43.29704620000848,113.0,252075.0,True,4000,0.25,4096
63,63,44.09548129999894,113.0,256076.0,True,4000,0.25,4096
64,64,44.90812960000767,113.0,260077.0,True,4000,0.25,4096
65,65,45.70340589999978,113.0,264078.0,True,4000,0.25,4096
66,66,46.46134340000572,113.0,268079.0,True,4000,0.25,4096
67,67,47.2644919000013,113.0,272080.0,True,4000,0.25,4096
68,68,48.04744030001166,113.0,276081.0,True,4000,0.25,4096
69,69,48.82022550000693,113.0,280082.0,True,4000,0.25,4096
70,70,49.6266966000112,113.0,284083.0,True,4000,0.25,4096
71,71,50.38473430000886,113.0,288084.0,True,4000,0.25,4096
72,72,51.217842300000484,113.0,292085.0,True,4000,0.25,4096
73,73,51.98255010000139,113.0,296086.0,True,4000,0.25,4096
74,74,52.72923029999947,113.0,300087.0,True,4000,0.25,4096
75,75,53.54001799999969,113.0,304088.0,True,4000,0.25,4096
76,76,54.3760811000102,113.0,308089.0,True,4000,0.25,4096
77,77,55.163512800005265,113.0,312090.0,True,4000,0.25,4096
78,78,56.01536670001224,113.0,316091.0,True,4000,0.25,4096
79,79,56.764970000003814,113.0,320092.0,True,4000,0.25,4096
80,80,57.58777860000555,113.0,324093.0,True,4000,0.25,4096
81,81,58.382976699998835,113.0,328094.0,True,4000,0.25,4096
82,82,59.16414330000407,113.0,332095.0,True,4000,0.25,4096
83,83,59.91741960000945,113.0,336096.0,True,4000,0.25,4096
84,84,60.69432950000919,113.0,340097.0,True,4000,0.25,4096
85,85,61.485046200003126,113.0,344098.0,True,4000,0.25,4096
86,86,62.30889510000998,113.0,348099.0,True,4000,0.25,4096
87,87,63.08593830000609,113.0,352100.0,True,4000,0.25,4096
88,88,63.8761208000069,113.0,356101.0,True,4000,0.25,4096
89,89,64.63096180000866,113.0,360102.0,True,4000,0.25,4096
90,90,65.39064030000009,113.0,364103.0,True,4000,0.25,4096
91,91,66.23079260000668,113.0,368104.0,True,4000,0.25,4096
92,92,67.00744270000723,113.0,372105.0,True,4000,0.25,4096
93,93,67.78243930000463,113.0,376106.0,True,4000,0.25,4096
94,94,68.57957380000153,113.0,380107.0,True,4000,0.25,4096
95,95,69.38439200000721,113.0,384108.0,True,4000,0.25,4096
96,96,70.19102700000803,113.0,388109.0,True,4000,0.25,4096
97,97,70.97647860000143,113.0,392110.0,True,4000,0.25,4096
98,98,71.7448485000059,113.0,396111.0,True,4000,0.25,4096
99,99,72.54100540000945,113.0,400112.0,True,4000,0.25,4096
100,100,73.3333840000123,113.0,404113.0,True,4000,0.25,4096
101,101,74.1225698000053,113.0,408114.0,True,4000,0.25,4096
102,102,74.87900820000505,113.0,412115.0,True,4000,0.25,4096
103,103,75.61817470000824,113.0,416116.0,True,4000,0.25,4096
104,104,76.42097120000108,113.0,420117.0,True,4000,0.25,4096
105,105,77.22069570000167,113.0,424118.0,True,4000,0.25,4096
106,106,77.97321660000307,113.0,428119.0,True,4000,0.25,4096
107,107,78.77665040000284,113.0,432120.0,True,4000,0.25,4096
108,108,79.55515120000928,113.0,436121.0,True,4000,0.25,4096
109,109,80.42783390000113,113.0,440122.0,True,4000,0.25,4096
110,110,81.27531490000547,113.0,444123.0,True,4000,0.25,4096
111,111,82.09079750000092,113.0,448124.0,True,4000,0.25,4096
112,112,82.84831510001095,113.0,452125.0,True,4000,0.25,4096
113,113,83.63453870000376,113.0,456126.0,True,4000,0.25,4096
114,114,84.43804020000971,113.0,460127.0,True,4000,0.25,4096
115,115,85.28831990000617,113.0,464128.0,True,4000,0.25,4096
116,116,86.09276569999929,113.0,468129.0,True,4000,0.25,4096
117,117,86.8247485000029,113.0,472130.0,True,4000,0.25,4096
