,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.2040971999958856,8.0,4000.0,True,4000,0.25,4096
1,1,0.49052609999489505,60.0,8002.0,True,4000,0.25,4096
2,2,0.7836019999958808,64.0,12004.0,True,4000,0.25,4096
3,3,1.0547483999980614,68.0,16006.0,True,4000,0.25,4096
4,4,1.423126499998034,68.0,20007.0,True,4000,0.25,4096
5,5,1.7178871999931289,73.0,24009.0,True,4000,0.25,4096
6,6,1.9691053999995347,75.0,28011.0,True,4000,0.25,4096
7,7,2.2113611999957357,75.0,32012.0,True,4000,0.25,4096
8,8,2.4673938999912934,75.0,36013.0,True,4000,0.25,4096
9,9,2.706979099995806,75.0,40014.0,True,4000,0.25,4096
10,10,2.9838368999917293,75.0,44015.0,True,4000,0.25,4096
11,11,3.2336714999983087,75.0,48016.0,True,4000,0.25,4096
12,12,3.496435699998983,75.0,52017.0,True,4000,0.25,4096
13,13,3.784795999992639,75.0,56018.0,True,4000,0.25,4096
14,14,4.079463499991107,75.0,60019.0,True,4000,0.25,4096
15,15,4.4746308000030695,75.0,64020.0,True,4000,0.25,4096
16,16,4.870662200002698,75.0,68021.0,True,4000,0.25,4096
17,17,5.260956099999021,75.0,72022.0,True,4000,0.25,4096
18,18,5.667829800004256,75.0,76023.0,True,4000,0.25,4096
19,19,6.0662596999900416,75.0,80024.0,True,4000,0.25,4096
20,20,6.467044199991506,75.0,84025.0,True,4000,0.25,4096
21,21,6.8841007000009995,75.0,88026.0,True,4000,0.25,4096
22,22,7.278590799993253,75.0,92027.0,True,4000,0.25,4096
23,23,7.703759600000922,75.0,96028.0,True,4000,0.25,4096
24,24,8.157178900000872,75.0,100029.0,True,4000,0.25,4096
25,25,8.577446499999496,75.0,104030.0,True,4000,0.25,4096
26,26,9.001957300002687,75.0,108031.0,True,4000,0.25,4096
27,27,9.395622900003218,75.0,112032.0,True,4000,0.25,4096
28,28,9.832705900000292,75.0,116033.0,True,4000,0.25,4096
29,29,10.22608149998996,75.0,120034.0,True,4000,0.25,4096
30,30,10.65325029999076,75.0,124035.0,True,4000,0.25,4096
31,31,11.09959759999765,75.0,128036.0,True,4000,0.25,4096
32,32,11.522932399995625,75.0,132037.0,True,4000,0.25,4096
33,33,11.942123300003004,75.0,136038.0,True,4000,0.25,4096
34,34,12.343844599992735,75.0,140039.0,True,4000,0.25,4096
35,35,12.778151499995147,75.0,144040.0,True,4000,0.25,4096
36,36,13.22679159999825,75.0,148041.0,True,4000,0.25,4096
37,37,13.653201099994476,75.0,152042.0,True,4000,0.25,4096
38,38,14.079322499994305,75.0,156043.0,True,4000,0.25,4096
39,39,14.488500299994485,75.0,160044.0,True,4000,0.25,4096
40,40,14.938970199989853,75.0,164045.0,True,4000,0.25,4096
41,41,15.412169299990637,75.0,168046.0,True,4000,0.25,4096
42,42,15.841551799996523,75.0,172047.0,True,4000,0.25,4096
43,43,16.22996099999,75.0,176048.0,True,4000,0.25,4096
44,44,16.65990729999612,75.0,180049.0,True,4000,0.25,4096
45,45,17.08216259999608,75.0,184050.0,True,4000,0.25,4096
46,46,17.474054399994202,75.0,188051.0,True,4000,0.25,4096
47,47,17.90654650000215,75.0,192052.0,True,4000,0.25,4096
48,48,18.325559999997495,75.0,196053.0,True,4000,0.25,4096
49,49,18.75417220000236,75.0,200054.0,True,4000,0.25,4096
50,50,19.16566640000383,75.0,204055.0,True,4000,0.25,4096
51,51,19.579698000001372,75.0,208056.0,True,4000,0.25,4096
52,52,20.005378000001656,75.0,212057.0,True,4000,0.25,4096
53,53,20.40368909999961,75.0,216058.0,True,4000,0.25,4096
54,54,20.837514500002726,75.0,220059.0,True,4000,0.25,4096
55,55,21.22939259999839,75.0,224060.0,True,4000,0.25,4096
56,56,21.659991199994693,75.0,228061.0,True,4000,0.25,4096
57,57,22.083030800000415,75.0,232062.0,True,4000,0.25,4096
58,58,22.47383259999333,75.0,236063.0,True,4000,0.25,4096
59,59,22.917630199997802,75.0,240064.0,True,4000,0.25,4096
60,60,23.323450399999274,75.0,244065.0,True,4000,0.25,4096
61,61,23.719009799999185,75.0,248066.0,True,4000,0.25,4096
62,62,24.139700999992783,75.0,252067.0,True,4000,0.25,4096
63,63,24.549224999995204,75.0,256068.0,True,4000,0.25,4096
64,64,24.9522874999966,75.0,260069.0,True,4000,0.25,4096
65,65,25.33456409999053,75.0,264070.0,True,4000,0.25,4096
66,66,25.75193309999304,75.0,268071.0,True,4000,0.25,4096
67,67,26.165214099994046,75.0,272072.0,True,4000,0.25,4096
68,68,26.58383909999975,75.0,276073.0,True,4000,0.25,4096
69,69,27.014702300002682,75.0,280074.0,True,4000,0.25,4096
70,70,27.45078430000285,75.0,284075.0,True,4000,0.25,4096
71,71,27.905100799995125,75.0,288076.0,True,4000,0.25,4096
72,72,28.340592099993955,75.0,292077.0,True,4000,0.25,4096
73,73,28.74303019999934,75.0,296078.0,True,4000,0.25,4096
74,74,29.14886149999802,75.0,300079.0,True,4000,0.25,4096
75,75,29.57614730000205,75.0,304080.0,True,4000,0.25,4096
76,76,30.01969960000133,75.0,308081.0,True,4000,0.25,4096
77,77,30.437948699996923,75.0,312082.0,True,4000,0.25,4096
78,78,30.86541669999133,75.0,316083.0,True,4000,0.25,4096
79,79,31.26757820000057,75.0,320084.0,True,4000,0.25,4096
80,80,31.693347199994605,75.0,324085.0,True,4000,0.25,4096
81,81,32.11644879999221,75.0,328086.0,True,4000,0.25,4096
82,82,32.530369100000826,75.0,332087.0,True,4000,0.25,4096
83,83,32.976822299999185,75.0,336088.0,True,4000,0.25,4096
84,84,33.39338999999745,75.0,340089.0,True,4000,0.25,4096
85,85,33.8261860999919,75.0,344090.0,True,4000,0.25,4096
86,86,34.262593699997524,75.0,348091.0,True,4000,0.25,4096
87,87,34.671126899993396,75.0,352092.0,True,4000,0.25,4096
88,88,35.09766869999294,75.0,356093.0,True,4000,0.25,4096
89,89,35.51007709999976,75.0,360094.0,True,4000,0.25,4096
90,90,35.95101720000093,75.0,364095.0,True,4000,0.25,4096
91,91,36.342100399997435,75.0,368096.0,True,4000,0.25,4096
92,92,36.77281939999375,75.0,372097.0,True,4000,0.25,4096
93,93,37.17552710000018,75.0,376098.0,True,4000,0.25,4096
94,94,37.5686568999954,75.0,380099.0,True,4000,0.25,4096
95,95,37.998179899994284,75.0,384100.0,True,4000,0.25,4096
96,96,38.41321769999922,75.0,388101.0,True,4000,0.25,4096
97,97,38.990397899993695,75.0,392102.0,True,4000,0.25,4096
98,98,39.42135530000087,75.0,396103.0,True,4000,0.25,4096
99,99,39.83907089999411,75.0,400104.0,True,4000,0.25,4096
100,100,40.231111899993266,75.0,404105.0,True,4000,0.25,4096
101,101,40.662788000001456,75.0,408106.0,True,4000,0.25,4096
102,102,41.1562957999995,75.0,412107.0,True,4000,0.25,4096
103,103,41.56803029999719,75.0,416108.0,True,4000,0.25,4096
104,104,41.95734680000169,75.0,420109.0,True,4000,0.25,4096
105,105,42.37916440000117,75.0,424110.0,True,4000,0.25,4096
106,106,42.75812519999454,75.0,428111.0,True,4000,0.25,4096
107,107,43.17506799999683,75.0,432112.0,True,4000,0.25,4096
108,108,43.56790059999912,75.0,436113.0,True,4000,0.25,4096
109,109,43.994604999999865,75.0,440114.0,True,4000,0.25,4096
110,110,44.39245420000225,75.0,444115.0,True,4000,0.25,4096
111,111,44.80083659999946,75.0,448116.0,True,4000,0.25,4096
112,112,45.19679590000305,75.0,452117.0,True,4000,0.25,4096
113,113,45.58855869999388,75.0,456118.0,True,4000,0.25,4096
114,114,45.994178799999645,75.0,460119.0,True,4000,0.25,4096
115,115,46.410076599990134,75.0,464120.0,True,4000,0.25,4096
116,116,46.84925289999228,75.0,468121.0,True,4000,0.25,4096
117,117,47.27341799999704,75.0,472122.0,True,4000,0.25,4096
118,118,47.6971632999921,75.0,476123.0,True,4000,0.25,4096
119,119,48.12946660000307,75.0,480124.0,True,4000,0.25,4096
120,120,48.5338708999916,75.0,484125.0,True,4000,0.25,4096
121,121,48.96123259999149,75.0,488126.0,True,4000,0.25,4096
122,122,49.389394300000276,75.0,492127.0,True,4000,0.25,4096
123,123,49.80381800000032,75.0,496128.0,True,4000,0.25,4096
124,124,50.214107399995555,75.0,500129.0,True,4000,0.25,4096
125,125,50.62922479999543,75.0,504130.0,True,4000,0.25,4096
126,126,51.04731749999337,75.0,508131.0,True,4000,0.25,4096
127,127,51.46848219999811,75.0,512132.0,True,4000,0.25,4096
128,128,51.90540139999939,75.0,516133.0,True,4000,0.25,4096
129,129,52.30162990000099,75.0,520134.0,True,4000,0.25,4096
130,130,52.743019699992146,75.0,524135.0,True,4000,0.25,4096
131,131,53.165309599993634,75.0,528136.0,True,4000,0.25,4096
132,132,53.575809100002516,75.0,532137.0,True,4000,0.25,4096
133,133,54.000288700000965,75.0,536138.0,True,4000,0.25,4096
134,134,54.41600389999803,75.0,540139.0,True,4000,0.25,4096
135,135,54.835260499996366,75.0,544140.0,True,4000,0.25,4096
136,136,55.24408289999701,75.0,548141.0,True,4000,0.25,4096
137,137,55.68785079999361,75.0,552142.0,True,4000,0.25,4096
138,138,56.10493410000345,75.0,556143.0,True,4000,0.25,4096
139,139,56.49737019999884,75.0,560144.0,True,4000,0.25,4096
140,140,56.94756459999189,75.0,564145.0,True,4000,0.25,4096
141,141,57.34416280000005,75.0,568146.0,True,4000,0.25,4096
142,142,57.75628790000337,75.0,572147.0,True,4000,0.25,4096
143,143,58.18000229999598,75.0,576148.0,True,4000,0.25,4096
144,144,58.59683719999157,75.0,580149.0,True,4000,0.25,4096
145,145,59.01836889999686,75.0,584150.0,True,4000,0.25,4096
146,146,59.417974299998605,75.0,588151.0,True,4000,0.25,4096
147,147,59.845640400002594,75.0,592152.0,True,4000,0.25,4096
148,148,60.314318699995056,75.0,596153.0,True,4000,0.25,4096
149,149,60.95395789999748,75.0,600154.0,True,4000,0.25,4096
150,150,61.51558799999475,75.0,604155.0,True,4000,0.25,4096
151,151,61.92646550000063,75.0,608156.0,True,4000,0.25,4096
152,152,62.334511699998984,75.0,612157.0,True,4000,0.25,4096
153,153,62.71695279999403,75.0,616158.0,True,4000,0.25,4096
154,154,63.154005999997025,75.0,620159.0,True,4000,0.25,4096
155,155,63.53722959999868,75.0,624160.0,True,4000,0.25,4096
156,156,63.95897229999537,75.0,628161.0,True,4000,0.25,4096
157,157,64.40539469999203,75.0,632162.0,True,4000,0.25,4096
158,158,64.90330869999889,75.0,636163.0,True,4000,0.25,4096
159,159,65.31033480000042,75.0,640164.0,True,4000,0.25,4096
160,160,65.88473879999947,75.0,644165.0,True,4000,0.25,4096
161,161,66.33423049999692,75.0,648166.0,True,4000,0.25,4096
162,162,66.73299499999848,75.0,652167.0,True,4000,0.25,4096
163,163,67.25682310000411,75.0,656168.0,True,4000,0.25,4096
164,164,67.744266099995,75.0,660169.0,True,4000,0.25,4096
165,165,68.16529459999583,75.0,664170.0,True,4000,0.25,4096
166,166,68.55810789999668,75.0,668171.0,True,4000,0.25,4096
167,167,68.95727060000354,75.0,672172.0,True,4000,0.25,4096
168,168,69.38054929999635,75.0,676173.0,True,4000,0.25,4096
169,169,69.77746739999566,75.0,680174.0,True,4000,0.25,4096
170,170,70.18318619999627,75.0,684175.0,True,4000,0.25,4096
171,171,70.57977589999791,75.0,688176.0,True,4000,0.25,4096
172,172,70.97840449999785,75.0,692177.0,True,4000,0.25,4096
173,173,71.36551459999464,75.0,696178.0,True,4000,0.25,4096
174,174,71.75158919999376,75.0,700179.0,True,4000,0.25,4096
175,175,72.16158230000292,75.0,704180.0,True,4000,0.25,4096
176,176,72.55104449999635,75.0,708181.0,True,4000,0.25,4096
177,177,73.01326700000209,75.0,712182.0,True,4000,0.25,4096
178,178,73.39907929999754,75.0,716183.0,True,4000,0.25,4096
179,179,73.78975470000296,75.0,720184.0,True,4000,0.25,4096
180,180,74.21754339999461,75.0,724185.0,True,4000,0.25,4096
181,181,74.65699669999594,75.0,728186.0,True,4000,0.25,4096
182,182,75.08430459999363,75.0,732187.0,True,4000,0.25,4096
183,183,75.47669719999249,75.0,736188.0,True,4000,0.25,4096
184,184,75.90537269999913,75.0,740189.0,True,4000,0.25,4096
185,185,76.30475569999544,75.0,744190.0,True,4000,0.25,4096
186,186,76.77674649999244,75.0,748191.0,True,4000,0.25,4096
187,187,77.20253989999765,75.0,752192.0,True,4000,0.25,4096
188,188,77.58480949999648,75.0,756193.0,True,4000,0.25,4096
189,189,78.0479287999915,75.0,760194.0,True,4000,0.25,4096
190,190,78.46156840000185,75.0,764195.0,True,4000,0.25,4096
191,191,78.85996770000202,75.0,768196.0,True,4000,0.25,4096
192,192,79.27022799999395,75.0,772197.0,True,4000,0.25,4096
193,193,79.67225340000005,75.0,776198.0,True,4000,0.25,4096
194,194,80.11206400000083,75.0,780199.0,True,4000,0.25,4096
195,195,80.49144990000059,75.0,784200.0,True,4000,0.25,4096
196,196,80.91053629999806,75.0,788201.0,True,4000,0.25,4096
197,197,81.29510899999877,75.0,792202.0,True,4000,0.25,4096
198,198,81.73738360000425,75.0,796203.0,True,4000,0.25,4096
199,199,82.13752109999768,75.0,800204.0,True,4000,0.25,4096
200,200,82.50784289999865,75.0,804205.0,True,4000,0.25,4096
201,201,82.92808719999448,75.0,808206.0,True,4000,0.25,4096
202,202,83.34726559999399,75.0,812207.0,True,4000,0.25,4096
203,203,83.72324789999402,75.0,816208.0,True,4000,0.25,4096
204,204,84.14841969999543,75.0,820209.0,True,4000,0.25,4096
205,205,84.58065000000352,75.0,824210.0,True,4000,0.25,4096
206,206,84.96375369999441,75.0,828211.0,True,4000,0.25,4096
