,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.026090899991686456,8.0,500.0,500,0.2,4096
1,1,0.08873449999373406,53.0,1002.0,500,0.2,4096
2,2,0.1408028000005288,55.0,1504.0,500,0.2,4096
3,3,0.19295250000141095,56.0,2006.0,500,0.2,4096
4,4,0.24356069999339525,56.0,2507.0,500,0.2,4096
5,5,0.29877619999751914,56.0,3008.0,500,0.2,4096
6,6,0.3492901999998139,60.0,3510.0,500,0.2,4096
7,7,0.39940509998996276,60.0,4011.0,500,0.2,4096
8,8,0.4584100999927614,60.0,4512.0,500,0.2,4096
9,9,0.528701799994451,60.0,5013.0,500,0.2,4096
10,10,0.5907958000025246,60.0,5514.0,500,0.2,4096
11,11,0.6508005999930901,60.0,6015.0,500,0.2,4096
12,12,0.7087384999904316,60.0,6516.0,500,0.2,4096
13,13,0.7631655000004685,60.0,7017.0,500,0.2,4096
14,14,0.8135326999909012,60.0,7518.0,500,0.2,4096
15,15,0.8650874000013573,60.0,8019.0,500,0.2,4096
16,16,0.9165330999967409,60.0,8520.0,500,0.2,4096
17,17,0.9687715000036405,66.0,9022.0,500,0.2,4096
18,18,1.026149199999054,66.0,9523.0,500,0.2,4096
19,19,1.1549566000030609,66.0,10024.0,500,0.2,4096
20,20,1.2865062999917427,66.0,10525.0,500,0.2,4096
21,21,1.3650706999906106,66.0,11026.0,500,0.2,4096
22,22,1.4306097999942722,66.0,11527.0,500,0.2,4096
23,23,1.488662599993404,66.0,12028.0,500,0.2,4096
24,24,1.5440559999988182,66.0,12529.0,500,0.2,4096
25,25,1.598743700000341,66.0,13030.0,500,0.2,4096
26,26,1.6542576999927405,66.0,13531.0,500,0.2,4096
27,27,1.7180312999989837,66.0,14032.0,500,0.2,4096
28,28,1.7709536000038497,66.0,14533.0,500,0.2,4096
29,29,1.8219188999937614,66.0,15034.0,500,0.2,4096
30,30,1.871840499996324,66.0,15535.0,500,0.2,4096
31,31,1.9333012999995844,67.0,16037.0,500,0.2,4096
32,32,2.003487199996016,67.0,16538.0,500,0.2,4096
33,33,2.0584640000015497,67.0,17039.0,500,0.2,4096
34,34,2.115435300001991,67.0,17540.0,500,0.2,4096
35,35,2.16874480000115,67.0,18041.0,500,0.2,4096
36,36,2.2206642999954056,68.0,18543.0,500,0.2,4096
37,37,2.2726506000035442,68.0,19044.0,500,0.2,4096
38,38,2.327827899993281,68.0,19545.0,500,0.2,4096
39,39,2.378075100001297,68.0,20046.0,500,0.2,4096
40,40,2.428434699992067,68.0,20547.0,500,0.2,4096
41,41,2.485503299991251,68.0,21048.0,500,0.2,4096
42,42,2.5358734000037657,68.0,21549.0,500,0.2,4096
43,43,2.586276000001817,68.0,22050.0,500,0.2,4096
44,44,2.638500400003977,68.0,22551.0,500,0.2,4096
45,45,2.693663700003526,69.0,23053.0,500,0.2,4096
46,46,2.745976199992583,69.0,23554.0,500,0.2,4096
47,47,2.806471000003512,69.0,24055.0,500,0.2,4096
48,48,2.8621506999916164,69.0,24556.0,500,0.2,4096
49,49,2.9213684999995166,69.0,25057.0,500,0.2,4096
50,50,2.9698246999905678,69.0,25558.0,500,0.2,4096
51,51,3.019038400001591,69.0,26059.0,500,0.2,4096
52,52,3.0719641000032425,69.0,26560.0,500,0.2,4096
