,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0372137000085786,46.0,0.0,False,5000,0.25,4096
1,1,12.37349600000016,72.0,2.0,False,5000,0.25,4096
2,2,25.64355200000864,79.0,4.0,False,5000,0.25,4096
3,3,38.095157100004144,83.0,6.0,False,5000,0.25,4096
4,4,51.49435260001337,85.0,8.0,False,5000,0.25,4096
5,5,65.08265930000925,91.0,10.0,False,5000,0.25,4096
6,6,77.52385440000216,94.0,12.0,False,5000,0.25,4096
7,7,89.47425820000353,95.0,14.0,False,5000,0.25,4096
8,8,101.2718550000136,99.0,16.0,False,5000,0.25,4096
