,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
83,83,91.63600020000013,144.0,336099.0,True,4000,0.25,4096
84,84,92.87391320000461,144.0,340100.0,True,4000,0.25,4096
85,85,94.01902599999448,144.0,344101.0,True,4000,0.25,4096
86,86,95.28672180000285,144.0,348102.0,True,4000,0.25,4096
87,87,96.58983539999463,144.0,352103.0,True,4000,0.25,4096
88,88,97.8677205999993,144.0,356104.0,True,4000,0.25,4096
89,89,99.11467969999649,144.0,360105.0,True,4000,0.25,4096
90,90,100.3893068000034,144.0,364106.0,True,4000,0.25,4096
91,91,101.60878429999866,144.0,368107.0,True,4000,0.25,4096
92,92,102.82058499999403,144.0,372108.0,True,4000,0.25,4096
93,93,103.9906833999994,144.0,376109.0,True,4000,0.25,4096
94,94,105.22941299999366,144.0,380110.0,True,4000,0.25,4096
95,95,106.48187279999547,144.0,384111.0,True,4000,0.25,4096
96,96,107.68793899999582,144.0,388112.0,True,4000,0.25,4096
97,97,108.96482170000672,144.0,392113.0,True,4000,0.25,4096
98,98,110.24123860000691,144.0,396114.0,True,4000,0.25,4096
99,99,111.51608830000623,144.0,400115.0,True,4000,0.25,4096
100,100,112.7783930000005,144.0,404116.0,True,4000,0.25,4096
101,101,114.01923220000754,144.0,408117.0,True,4000,0.25,4096
102,102,115.25651999999536,144.0,412118.0,True,4000,0.25,4096
103,103,116.52889220000361,144.0,416119.0,True,4000,0.25,4096
104,104,117.79945690000022,144.0,420120.0,True,4000,0.25,4096
105,105,118.98347200000717,144.0,424121.0,True,4000,0.25,4096
106,106,120.25082899999688,144.0,428122.0,True,4000,0.25,4096
107,107,121.58328599999368,144.0,432123.0,True,4000,0.25,4096
108,108,122.88531220000004,144.0,436124.0,True,4000,0.25,4096
109,109,124.15622190000431,144.0,440125.0,True,4000,0.25,4096
110,110,125.45309480000287,144.0,444126.0,True,4000,0.25,4096
111,111,126.67084520000208,144.0,448127.0,True,4000,0.25,4096
112,112,127.91781460000493,144.0,452128.0,True,4000,0.25,4096
113,113,129.16067310000653,144.0,456129.0,True,4000,0.25,4096
114,114,130.3994296000019,144.0,460130.0,True,4000,0.25,4096
115,115,131.6513871000061,144.0,464131.0,True,4000,0.25,4096
116,116,132.88841119999415,144.0,468132.0,True,4000,0.25,4096
117,117,134.11910910000734,144.0,472133.0,True,4000,0.25,4096
