,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
10,0,24.0,6,0.13567799999998442,"[0, 4, 6, 9, 9, 5, 4, 3, 1, 3, 9, 9, 2, 9, 0, 7, 4, 3, 7, 6, 1, 0, 11, 10, 3, 7, 11, 1, 2, 11, 0, 0, 2, 10, 4, 11, 2, 0, 0, 7, 9, 10, 11, 11, 1, 2, 1, 2, 6, 0, 9, 7, 9, 9, 9, 1, 2, 8, 6, 3, 9, 4, 1, 10, 7, 3, 8, 4, 8, 3, 9, 4, 8, 7, 2, 0, 2, 3, 1, 0, 6, 7, 6, 4, 11, 0, 6, 6, 8, 2, 8, 0, 0, 3, 8, 5, 10, 2, 0, 3]",25,4096,5
11,1,24.0,7,0.1448976000000357,"[0, 4, 6, 9, 9, 5, 4, 3, 1, 3, 9, 9, 2, 9, 0, 7, 4, 3, 7, 6, 1, 0, 11, 10, 3, 7, 11, 1, 2, 11, 0, 0, 2, 10, 4, 11, 2, 0, 0, 7, 9, 10, 11, 11, 1, 2, 1, 2, 6, 0, 9, 7, 9, 9, 9, 1, 2, 8, 6, 3, 9, 4, 1, 10, 7, 3, 8, 4, 8, 3, 9, 4, 8, 7, 2, 0, 2, 3, 1, 0, 6, 7, 6, 4, 11, 0, 6, 6, 8, 2, 8, 0, 0, 3, 8, 5, 10, 2, 0, 3]",25,4096,5
12,0,24.0,7,0.1541156000000683,"[2, 11, 8, 6, 11, 3, 2, 9, 4, 4, 2, 11, 8, 3, 10, 4, 3, 4, 6, 8, 6, 4, 9, 9, 6, 9, 4, 2, 6, 10, 10, 1, 11, 8, 9, 9, 11, 0, 5, 6, 7, 9, 8, 1, 10, 9, 1, 4, 4, 5, 2, 7, 0, 5, 3, 0, 6, 8, 3, 3, 5, 11, 2, 11, 5, 6, 10, 9, 9, 2, 6, 2, 1, 11, 9, 3, 11, 7, 8, 6, 0, 2, 11, 8, 11, 0, 8, 7, 0, 5, 4, 5, 9, 11, 4, 5, 4, 10, 11, 4]",25,4096,6
13,1,25.0,9,0.16364480000004278,"[2, 11, 8, 6, 11, 3, 2, 9, 4, 4, 2, 11, 8, 3, 10, 4, 3, 4, 6, 8, 6, 4, 9, 9, 6, 9, 4, 2, 6, 10, 10, 1, 11, 8, 9, 2, 11, 0, 5, 6, 7, 9, 8, 1, 10, 9, 1, 4, 4, 5, 2, 7, 0, 5, 3, 0, 6, 8, 3, 3, 5, 11, 2, 11, 5, 6, 10, 9, 9, 2, 6, 2, 1, 11, 9, 3, 11, 7, 8, 6, 0, 2, 11, 8, 11, 0, 8, 7, 0, 5, 4, 5, 9, 11, 4, 5, 4, 10, 11, 4]",25,4096,6
14,0,21.0,9,0.17326660000003358,"[2, 3, 8, 1, 8, 0, 0, 4, 5, 5, 2, 6, 8, 10, 11, 9, 7, 5, 11, 7, 11, 4, 7, 9, 11, 3, 9, 7, 9, 11, 1, 11, 11, 4, 8, 3, 10, 5, 0, 8, 0, 4, 3, 11, 2, 5, 1, 2, 4, 8, 1, 9, 7, 1, 10, 4, 6, 7, 0, 5, 0, 1, 0, 10, 4, 9, 8, 5, 10, 10, 0, 0, 1, 8, 2, 0, 4, 6, 5, 11, 0, 4, 4, 5, 2, 4, 6, 4, 4, 4, 9, 9, 2, 0, 4, 8, 0, 2, 3, 0]",25,4096,7
15,1,21.0,10,0.18266649999998208,"[2, 3, 8, 1, 8, 0, 0, 4, 5, 5, 2, 6, 8, 10, 11, 9, 7, 5, 11, 7, 11, 4, 7, 9, 11, 3, 9, 7, 9, 11, 1, 11, 11, 4, 8, 3, 10, 5, 0, 8, 0, 4, 3, 11, 2, 5, 1, 2, 4, 8, 1, 9, 7, 1, 10, 4, 6, 7, 0, 5, 0, 1, 0, 10, 4, 9, 8, 5, 10, 10, 0, 0, 1, 8, 2, 0, 4, 6, 5, 11, 0, 4, 4, 5, 2, 4, 6, 4, 4, 4, 9, 9, 2, 0, 4, 8, 0, 2, 3, 0]",25,4096,7
16,0,23.0,10,0.19202760000007402,"[11, 7, 6, 9, 9, 1, 5, 5, 2, 10, 1, 11, 0, 5, 11, 4, 10, 8, 0, 6, 4, 4, 1, 10, 2, 6, 5, 11, 1, 5, 1, 1, 1, 10, 2, 1, 3, 8, 5, 0, 7, 11, 6, 9, 2, 0, 4, 3, 9, 7, 0, 9, 0, 11, 3, 7, 4, 1, 5, 4, 1, 10, 10, 10, 2, 8, 6, 6, 10, 5, 7, 3, 7, 3, 7, 8, 2, 2, 10, 1, 9, 2, 2, 4, 4, 1, 11, 9, 5, 4, 5, 0, 4, 8, 11, 9, 1, 0, 9, 10]",25,4096,8
17,1,23.0,11,0.2021793000000116,"[11, 7, 6, 9, 9, 1, 5, 5, 2, 10, 1, 11, 0, 5, 11, 4, 10, 8, 0, 6, 4, 4, 1, 10, 2, 6, 5, 11, 1, 5, 1, 1, 1, 10, 2, 1, 3, 8, 5, 0, 7, 11, 6, 9, 2, 0, 4, 3, 9, 7, 0, 9, 0, 11, 3, 7, 4, 1, 5, 4, 1, 10, 10, 10, 2, 8, 6, 6, 10, 5, 7, 3, 7, 3, 7, 8, 2, 2, 10, 1, 9, 2, 2, 4, 4, 1, 11, 9, 5, 4, 5, 0, 4, 8, 11, 9, 1, 0, 9, 10]",25,4096,8
18,0,17.0,11,0.21168999999997595,"[8, 8, 5, 7, 10, 0, 9, 3, 0, 7, 0, 2, 3, 7, 5, 9, 11, 6, 7, 1, 9, 10, 7, 2, 6, 2, 6, 10, 11, 1, 9, 5, 2, 2, 8, 6, 4, 11, 9, 6, 8, 0, 6, 5, 9, 11, 8, 0, 3, 8, 3, 9, 2, 8, 1, 3, 5, 1, 7, 7, 0, 11, 2, 9, 8, 4, 5, 3, 9, 1, 10, 7, 10, 5, 4, 8, 0, 4, 5, 4, 5, 5, 6, 3, 10, 7, 6, 8, 6, 2, 2, 7, 4, 3, 7, 5, 1, 3, 11, 10]",25,4096,9
19,1,18.0,13,0.2213186000000178,"[8, 8, 5, 5, 10, 0, 9, 3, 0, 7, 0, 2, 3, 7, 5, 9, 11, 6, 7, 1, 9, 10, 7, 2, 6, 2, 6, 10, 11, 1, 9, 5, 2, 2, 8, 6, 4, 11, 9, 6, 8, 0, 6, 5, 9, 11, 8, 0, 3, 8, 3, 9, 2, 8, 1, 3, 5, 1, 7, 7, 0, 11, 2, 9, 8, 4, 5, 3, 9, 1, 10, 7, 10, 5, 4, 8, 0, 4, 5, 4, 5, 5, 6, 3, 10, 7, 6, 8, 6, 2, 2, 7, 4, 3, 7, 5, 1, 3, 11, 10]",25,4096,9
