,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
18,8,26.0,12,0.46361089999845717,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 26, 10, 10, 23, 20, 3, 7, 11, 2, 21, 20, 1, 23, 11, 29, 31, 28, 31, 27, 20, 0]",exponential,1,,0.001,0.9976846301135793,1,4096,0.005
19,16,22.0,24,0.5963771999995515,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 26, 10, 10, 28, 20, 3, 26, 11, 2, 8, 20, 1, 23, 11, 29, 31, 13, 31, 27, 20, 0]",exponential,1,,0.001,0.9970225554063749,1,4096,0.005
20,32,23.0,47,0.7567768999979307,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 3, 18, 7, 10, 31, 28, 12, 3, 26, 11, 2, 8, 20, 1, 23, 30, 24, 31, 12, 31, 27, 20, 0]",exponential,1,,0.001,0.9962232653700279,1,4096,0.005
21,64,18.0,98,1.122468099998514,"[4, 10, 28, 12, 9, 8, 16, 20, 15, 3, 26, 7, 14, 31, 25, 12, 3, 26, 11, 2, 8, 20, 1, 23, 30, 22, 30, 11, 31, 5, 20, 0]",exponential,1,,0.001,0.9944033792609853,1,4096,0.005
22,128,14.0,188,1.6936103999978513,"[28, 0, 24, 23, 9, 13, 16, 20, 3, 3, 31, 7, 14, 20, 25, 19, 4, 26, 22, 2, 8, 14, 1, 14, 30, 22, 18, 11, 31, 29, 5, 17]",exponential,1,,0.001,0.9915677009618591,1,4096,0.005
23,256,10.0,348,2.6561901999994006,"[25, 0, 17, 23, 9, 28, 30, 20, 3, 30, 21, 7, 20, 20, 16, 19, 8, 26, 4, 2, 8, 31, 1, 14, 30, 15, 18, 11, 22, 1, 5, 31]",exponential,1,,0.001,0.9868068516988096,1,4096,0.005
24,512,8.0,626,4.365125799999078,"[25, 13, 17, 23, 9, 27, 30, 1, 12, 19, 21, 7, 29, 20, 3, 19, 15, 26, 4, 4, 7, 2, 24, 14, 0, 22, 19, 11, 16, 30, 5, 31]",exponential,1,,0.001,0.9784108266519225,1,4096,0.005
25,1024,4.0,1168,8.248504899998807,"[25, 13, 31, 23, 9, 27, 30, 14, 12, 19, 21, 7, 29, 26, 3, 6, 30, 17, 11, 4, 10, 2, 20, 15, 0, 22, 28, 0, 16, 24, 5, 18]",exponential,1,,0.001,0.9595963760933756,1,4096,0.005
26,2048,4.0,2237,19.35402979999708,"[25, 13, 8, 23, 9, 27, 24, 14, 7, 30, 21, 5, 28, 30, 3, 18, 2, 17, 19, 6, 10, 1, 31, 15, 0, 4, 1, 22, 16, 12, 26, 29]",exponential,1,,0.001,0.9077646327644531,1,4096,0.005
27,4096,1.0,4333,54.21080660000007,"[25, 11, 26, 17, 23, 27, 8, 14, 7, 0, 21, 31, 10, 30, 3, 18, 13, 1, 19, 5, 28, 2, 31, 16, 6, 29, 20, 22, 24, 12, 15, 9]",exponential,1,,0.001,0.7625752910611491,1,4096,0.005
