,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.1558923999837134,29.0,200.0,200,0.6,4096
1,1,0.3232443000015337,21.0,402.0,200,0.6,4096
2,2,0.5104070999950636,21.0,603.0,200,0.6,4096
3,3,0.6886731999984477,18.0,805.0,200,0.6,4096
4,4,0.8515049999987241,18.0,1006.0,200,0.6,4096
5,5,1.0087207999895327,18.0,1207.0,200,0.6,4096
6,6,1.16664129999117,18.0,1408.0,200,0.6,4096
7,7,1.4952283999882638,18.0,1609.0,200,0.6,4096
8,8,1.6628857999749016,16.0,1811.0,200,0.6,4096
9,9,1.8239363999746274,16.0,2012.0,200,0.6,4096
10,10,2.0481446999765467,16.0,2213.0,200,0.6,4096
11,11,2.2139053999853786,16.0,2414.0,200,0.6,4096
12,12,2.3676686999970116,16.0,2615.0,200,0.6,4096
13,13,2.5408766999898944,16.0,2816.0,200,0.6,4096
14,14,2.705275599990273,16.0,3017.0,200,0.6,4096
15,15,2.866800699994201,16.0,3218.0,200,0.6,4096
16,16,3.0289056999899913,15.0,3420.0,200,0.6,4096
17,17,3.182476299989503,15.0,3621.0,200,0.6,4096
18,18,3.343077199999243,15.0,3822.0,200,0.6,4096
19,19,3.5017901999817695,15.0,4023.0,200,0.6,4096
20,20,3.6793292999791447,15.0,4224.0,200,0.6,4096
21,21,3.8545565999811515,15.0,4425.0,200,0.6,4096
22,22,4.006772199994884,15.0,4626.0,200,0.6,4096
23,23,4.16874269998516,15.0,4827.0,200,0.6,4096
24,24,4.328158299991628,15.0,5028.0,200,0.6,4096
25,25,4.4900459999917075,15.0,5229.0,200,0.6,4096
26,26,4.65454519999912,12.0,5431.0,200,0.6,4096
27,27,4.826731999986805,12.0,5632.0,200,0.6,4096
28,28,4.992249699978856,12.0,5833.0,200,0.6,4096
29,29,5.162203899992164,12.0,6034.0,200,0.6,4096
30,30,5.338722899992717,12.0,6235.0,200,0.6,4096
31,31,5.506312099983916,12.0,6436.0,200,0.6,4096
32,32,5.675036499975249,12.0,6637.0,200,0.6,4096
33,33,5.845941699983086,12.0,6838.0,200,0.6,4096
34,34,6.015802699985215,12.0,7039.0,200,0.6,4096
35,35,6.188619099993957,12.0,7240.0,200,0.6,4096
36,36,6.356163399992511,12.0,7441.0,200,0.6,4096
37,37,6.531810599990422,12.0,7642.0,200,0.6,4096
38,38,6.701946499990299,12.0,7843.0,200,0.6,4096
39,39,6.889214900002116,12.0,8044.0,200,0.6,4096
