,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.0010667000024113804,19.0,0.0,6,4096
1,1,0.012623899994650856,19.0,2.0,6,4096
2,2,0.013481700007105246,17.0,4.0,6,4096
3,3,0.014385400019818917,18.0,6.0,6,4096
4,4,0.015674199996283278,17.0,8.0,6,4096
5,5,0.018133700010366738,19.0,10.0,6,4096
6,6,0.020715499995276332,20.0,12.0,6,4096
7,7,0.02324480001698248,22.0,14.0,6,4096
8,8,0.02473090001149103,22.0,16.0,6,4096
9,9,0.025638399994932115,20.0,18.0,6,4096
10,10,0.026664100005291402,19.0,20.0,6,4096
11,11,0.028061299992259592,17.0,22.0,6,4096
12,12,0.028942600009031594,19.0,24.0,6,4096
13,13,0.02979040000354871,17.0,26.0,6,4096
14,14,0.030764700000872836,16.0,28.0,6,4096
15,15,0.03180090000387281,16.0,30.0,6,4096
16,16,0.032667199993738905,15.0,32.0,6,4096
17,17,0.03354239999316633,14.0,34.0,6,4096
18,18,0.03437929999199696,14.0,35.0,6,4096
19,19,0.03536010000971146,15.0,37.0,6,4096
20,20,0.0362606999988202,15.0,39.0,6,4096
21,21,0.037123899994185194,16.0,41.0,6,4096
22,22,0.03796899999724701,16.0,43.0,6,4096
23,23,0.038833800004795194,15.0,45.0,6,4096
24,24,0.03969190001953393,16.0,47.0,6,4096
25,25,0.040556699997978285,15.0,49.0,6,4096
26,26,0.041439900000113994,15.0,51.0,6,4096
27,27,0.04273129999637604,13.0,53.0,6,4096
28,28,0.043894800008274615,13.0,55.0,6,4096
29,29,0.04438490001484752,13.0,56.0,6,4096
30,30,0.04490500001702458,13.0,57.0,6,4096
31,31,0.04622290001134388,12.0,59.0,6,4096
32,32,0.0472289000172168,14.0,61.0,6,4096
33,33,0.04815260000759736,15.0,63.0,6,4096
34,34,0.04903630001354031,15.0,65.0,6,4096
35,35,0.049884900014149025,14.0,67.0,6,4096
36,36,0.05072709999512881,12.0,69.0,6,4096
37,37,0.051576900004874915,14.0,71.0,6,4096
38,38,0.05244309999397956,14.0,73.0,6,4096
39,39,0.05291560001205653,14.0,74.0,6,4096
40,40,0.0539893000095617,15.0,76.0,6,4096
41,41,0.05526670001563616,14.0,78.0,6,4096
42,42,0.05611540001700632,13.0,80.0,6,4096
43,43,0.05694700000458397,14.0,82.0,6,4096
44,44,0.05776460000197403,14.0,84.0,6,4096
45,45,0.05862550000892952,13.0,86.0,6,4096
46,46,0.05953080000472255,11.0,88.0,6,4096
47,47,0.060506400011945516,13.0,90.0,6,4096
48,48,0.061386600020341575,12.0,92.0,6,4096
49,49,0.06227640001452528,13.0,94.0,6,4096
50,50,0.06314959999872372,13.0,96.0,6,4096
51,51,0.0640170999977272,14.0,98.0,6,4096
52,52,0.06449409999186173,14.0,99.0,6,4096
53,53,0.06535750001785345,13.0,101.0,6,4096
54,54,0.0662241000100039,13.0,103.0,6,4096
55,55,0.06709140000748448,15.0,105.0,6,4096
56,56,0.06796230000327341,15.0,107.0,6,4096
57,57,0.06885440001497045,14.0,109.0,6,4096
58,58,0.06975739999325015,16.0,111.0,6,4096
59,59,0.07025730001623742,16.0,112.0,6,4096
60,60,0.07116099999984726,13.0,114.0,6,4096
61,61,0.0720574000151828,12.0,116.0,6,4096
62,62,0.07296520000090823,13.0,118.0,6,4096
63,63,0.07386980002047494,14.0,120.0,6,4096
64,64,0.07477300000027753,14.0,122.0,6,4096
65,65,0.0761863999941852,13.0,124.0,6,4096
66,66,0.07814450000296347,13.0,126.0,6,4096
67,67,0.08024010001099668,14.0,128.0,6,4096
68,68,0.08138260000851005,14.0,129.0,6,4096
69,69,0.08246420000796206,14.0,130.0,6,4096
70,70,0.08431040000868961,13.0,132.0,6,4096
71,71,0.08620240000891499,12.0,134.0,6,4096
72,72,0.08726329999626614,12.0,135.0,6,4096
73,73,0.088175200013211,12.0,136.0,6,4096
74,74,0.0892327000037767,11.0,138.0,6,4096
75,75,0.09032380001735874,12.0,140.0,6,4096
76,76,0.09129410001332872,12.0,142.0,6,4096
77,77,0.09223750000819564,12.0,144.0,6,4096
78,78,0.09275609999895096,12.0,145.0,6,4096
79,79,0.09327710000798106,12.0,146.0,6,4096
80,80,0.09418330001062714,13.0,148.0,6,4096
81,81,0.09507559999474324,13.0,150.0,6,4096
82,82,0.09598509999341331,12.0,152.0,6,4096
83,83,0.09651070000836626,12.0,153.0,6,4096
84,84,0.0974071999953594,13.0,155.0,6,4096
85,85,0.09829769999487326,11.0,157.0,6,4096
86,86,0.09923220000928268,11.0,159.0,6,4096
87,87,0.10013979999348521,12.0,161.0,6,4096
88,88,0.10065239999676123,12.0,162.0,6,4096
89,89,0.10155240001040511,13.0,164.0,6,4096
90,90,0.102440500020748,12.0,166.0,6,4096
91,91,0.10294840001733974,12.0,167.0,6,4096
92,92,0.10396930002025329,12.0,169.0,6,4096
93,93,0.10608520000823773,14.0,171.0,6,4096
