,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,29.0,0,0.0015776999935042113,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",geometric,6,0.99,0.001,5.999904862265409,6,4096
1,4096,1.0,2275,3.9279941999993753,"[18, 25, 22, 17, 13, 6, 0, 9, 21, 19, 2, 30, 27, 1, 5, 23, 11, 20, 4, 15, 27, 14, 28, 8, 24, 7, 31, 16, 12, 26, 3, 29]",geometric,6,0.99,0.001,5.767748568582331,6,4096
