,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.0005080999981146306,3.0,0.0,12,4096,0
1,1,0.012587900011567399,3.0,1.0,12,4096,0
2,2,0.01294640000560321,1.0,3.0,12,4096,0
3,3,0.013123200013069436,1.0,4.0,12,4096,0
4,4,0.01329600001918152,1.0,5.0,12,4096,0
5,5,0.013460100017255172,1.0,6.0,12,4096,0
6,6,0.01362790001439862,1.0,7.0,12,4096,0
7,7,0.013796200015349314,1.0,8.0,12,4096,0
8,8,0.013972200016723946,1.0,9.0,12,4096,0
9,9,0.014148600021144375,1.0,10.0,12,4096,0
10,10,0.014330400008475408,1.0,11.0,12,4096,0
11,11,0.014644400012912229,0.0,13.0,12,4096,0
